capacity,num_orders,inst_num,optimal_bks,optimal_bks_is_opt,best_any_policy_bks,best_any_policy,any_policy_improves_optimal,directly_comparable_to_current_casop,comparability_note,source,doi,source_url
24,20,1,699.8,True,699.8,optimal,False,False,Do not use as CASOP BKS: Wahlen & Gschwind state that M&O did not specify aisle/depot entry/exit distances and they adopted the H&W/ZKS interpretation. This changes numerical objective values relative to the H&I/CASOP reference geometry.,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
24,20,2,707.2,True,707.2,optimal,False,False,Do not use as CASOP BKS: Wahlen & Gschwind state that M&O did not specify aisle/depot entry/exit distances and they adopted the H&W/ZKS interpretation. This changes numerical objective values relative to the H&I/CASOP reference geometry.,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
24,20,3,726.4,True,726.4,optimal,False,False,Do not use as CASOP BKS: Wahlen & Gschwind state that M&O did not specify aisle/depot entry/exit distances and they adopted the H&W/ZKS interpretation. This changes numerical objective values relative to the H&I/CASOP reference geometry.,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
24,20,4,628.0,True,628.0,optimal,False,False,Do not use as CASOP BKS: Wahlen & Gschwind state that M&O did not specify aisle/depot entry/exit distances and they adopted the H&W/ZKS interpretation. This changes numerical objective values relative to the H&I/CASOP reference geometry.,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
24,20,5,611.2,True,611.2,optimal,False,False,Do not use as CASOP BKS: Wahlen & Gschwind state that M&O did not specify aisle/depot entry/exit distances and they adopted the H&W/ZKS interpretation. This changes numerical objective values relative to the H&I/CASOP reference geometry.,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
24,20,6,559.8,True,559.8,optimal,False,False,Do not use as CASOP BKS: Wahlen & Gschwind state that M&O did not specify aisle/depot entry/exit distances and they adopted the H&W/ZKS interpretation. This changes numerical objective values relative to the H&I/CASOP reference geometry.,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
24,20,7,598.4,True,598.4,optimal,False,False,Do not use as CASOP BKS: Wahlen & Gschwind state that M&O did not specify aisle/depot entry/exit distances and they adopted the H&W/ZKS interpretation. This changes numerical objective values relative to the H&I/CASOP reference geometry.,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
24,20,8,603.0,True,603.0,optimal,False,False,Do not use as CASOP BKS: Wahlen & Gschwind state that M&O did not specify aisle/depot entry/exit distances and they adopted the H&W/ZKS interpretation. This changes numerical objective values relative to the H&I/CASOP reference geometry.,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
24,20,9,731.0,True,731.0,optimal,False,False,Do not use as CASOP BKS: Wahlen & Gschwind state that M&O did not specify aisle/depot entry/exit distances and they adopted the H&W/ZKS interpretation. This changes numerical objective values relative to the H&I/CASOP reference geometry.,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
24,20,10,536.8,True,536.8,optimal,False,False,Do not use as CASOP BKS: Wahlen & Gschwind state that M&O did not specify aisle/depot entry/exit distances and they adopted the H&W/ZKS interpretation. This changes numerical objective values relative to the H&I/CASOP reference geometry.,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
